15933	SWINE (PIGS)	
1594	CATTLE	
1594	SHEEP	
1594	SWINE (PIGS)	
15940	POULTRY	TURKEYS
15959	CATTLE	DAIRY CATTLE
15960	CATTLE	DAIRY CATTLE
16010	CATTLE	
16010	SHEEP	EWES
16011	DOGS	
16011	HORSES	
16033	CATTLE	DAIRY CATTLE
16094	DOGS	
16095	DOGS	
16104	DOGS	
16105	DOGS	
1617	CATTLE	CALVES
1617	POULTRY	CHICKENS
1617	POULTRY	TURKEYS
1617	SWINE (PIGS)	
16230	CATTLE	
16230	HORSES	
16230	SHEEP	
16230	SWINE (PIGS)	
1631	POULTRY	CHICKENS
1631	POULTRY	TURKEYS
1632	CATTLE	
1632	POULTRY	
1632	SWINE (PIGS)	
1633	POULTRY	
1633	SWINE (PIGS)	
16444	SWINE (PIGS)	PIGLETS
16451	HORSES	
16464	CATS	
16499	CATTLE	CALVES
16564	CATS	
16659	DOGS	
16660	DOGS	
16750	CATTLE	CALVES
16750	POULTRY	BREEDER CHICKENS
16750	POULTRY	BROILER CHICKENS
16750	POULTRY	REPLACEMENT CHICKENS
16750	POULTRY	TURKEYS
16750	SHEEP	
16750	SWINE (PIGS)	
16751	CATS	
16751	DOGS	
16797	CATS	
16798	DOGS	
1680	POULTRY	
1680	SWINE (PIGS)	
16840	CATTLE	DAIRY CATTLE
16841	CATTLE	DAIRY CATTLE
1685	SHEEP	
1686	CATS	
1686	DOGS	
1687	DOGS	
1687	HORSES	
17114	CATTLE	CALVES
17120	CATTLE	BEEF CATTLE
17216	HORSES	
17244	CATTLE	DAIRY CATTLE
1730	DOG OR CAT	
1730	HORSES	
17419	CATS	
17419	DOGS	
17746	HORSES	
17796	HORSES	
1785	POULTRY	
17950	CATTLE	DAIRY CATTLE
17951	CATTLE	DAIRY CATTLE
18044	CATTLE	DAIRY CATTLE
18100	CATTLE	
18100	SWINE (PIGS)	PIGLETS
18187	CATS	
18187	DOGS	
18250	CATS	
18250	CATTLE	CALVES
18250	DOGS	
