cohortId,cohortName
7234,"gatifloxacin exposures w 0d prior obsv, 30d gap"
7235,"gemfibrozil exposures w 0d prior obsv, 30d gap"
7236,"gemifloxacin exposures w 0d prior obsv, 30d gap"
7237,"gentamicin exposures w 0d prior obsv, 30d gap"
7238,"gilteritinib exposures w 0d prior obsv, 30d gap"
7239,"glatiramer exposures w 0d prior obsv, 30d gap"
7240,"glimepiride exposures w 0d prior obsv, 30d gap"
7241,"glipizide exposures w 0d prior obsv, 30d gap"
7242,"glucagon exposures w 0d prior obsv, 30d gap"
7243,"glyburide exposures w 0d prior obsv, 30d gap"
7244,"glycerin exposures w 0d prior obsv, 30d gap"
7245,"glycopyrronium exposures w 0d prior obsv, 30d gap"
7247,"goserelin exposures w 0d prior obsv, 30d gap"
7248,"granisetron exposures w 0d prior obsv, 30d gap"
7249,"grepafloxacin exposures w 0d prior obsv, 30d gap"
7250,"griseofulvin exposures w 0d prior obsv, 30d gap"
7251,"guanfacine exposures w 0d prior obsv, 30d gap"
7252,"halcinonide exposures w 0d prior obsv, 30d gap"
7253,"halobetasol exposures w 0d prior obsv, 30d gap"
7255,"haloprogin exposures w 0d prior obsv, 30d gap"
7256,"halothane exposures w 0d prior obsv, 30d gap"
7257,"heparin exposures w 0d prior obsv, 30d gap"
7258,"hydrocodone exposures w 0d prior obsv, 30d gap"
7259,"hydrocortisone exposures w 0d prior obsv, 30d gap"
7260,"hydromorphone exposures w 0d prior obsv, 30d gap"
7261,"hydroxychloroquine exposures w 0d prior obsv, 30d gap"
7262,"hydroxyurea exposures w 0d prior obsv, 30d gap"
7263,"hydroxyzine exposures w 0d prior obsv, 30d gap"
7264,"hyoscyamine exposures w 0d prior obsv, 30d gap"
7266,"ibuprofen exposures w 0d prior obsv, 30d gap"
7267,"idelalisib exposures w 0d prior obsv, 30d gap"
7268,"iloperidone exposures w 0d prior obsv, 30d gap"
7270,"imipramine exposures w 0d prior obsv, 30d gap"
7271,"inamrinone exposures w 0d prior obsv, 30d gap"
7272,"indinavir exposures w 0d prior obsv, 30d gap"
7273,"indomethacin exposures w 0d prior obsv, 30d gap"
7275,"insulin aspart, human exposures w 0d prior obsv, 30d gap"
7276,"insulin detemir exposures w 0d prior obsv, 30d gap"
7277,"insulin glargine exposures w 0d prior obsv, 30d gap"
7278,"insulin glulisine, human exposures w 0d prior obsv, 30d gap"
7279,"insulin human, rDNA origin exposures w 0d prior obsv, 30d gap"
7280,"insulin isophane exposures w 0d prior obsv, 30d gap"
7281,"insulin lispro exposures w 0d prior obsv, 30d gap"
7282,"insulin, prompt zinc, beef-pork exposures w 0d prior obsv, 30d gap"
7283,"insulin, prompt zinc, beef exposures w 0d prior obsv, 30d gap"
7284,"insulin, prompt zinc, pork exposures w 0d prior obsv, 30d gap"
7285,"insulin, protamine zinc, beef-pork exposures w 0d prior obsv, 30d gap"
7286,"insulin, protamine zinc, beef exposures w 0d prior obsv, 30d gap"
7287,"insulin, protamine zinc, pork exposures w 0d prior obsv, 30d gap"
7288,"insulin, regular, beef-pork exposures w 0d prior obsv, 30d gap"
7289,"insulin, regular, beef exposures w 0d prior obsv, 30d gap"
7290,"insulin, regular, human exposures w 0d prior obsv, 30d gap"
7291,"insulin, regular, pork exposures w 0d prior obsv, 30d gap"
7292,"interferon alfa-2a exposures w 0d prior obsv, 30d gap"
7293,"interferon alfa-2b exposures w 0d prior obsv, 30d gap"
7294,"interferon beta-1a exposures w 0d prior obsv, 30d gap"
7295,"interferon beta-1b exposures w 0d prior obsv, 30d gap"
7296,"iron-dextran complex exposures w 0d prior obsv, 30d gap"
7297,"isavuconazonium exposures w 0d prior obsv, 30d gap"
7298,"isocarboxazid exposures w 0d prior obsv, 30d gap"
7299,"isoflurane exposures w 0d prior obsv, 30d gap"
7301,"kanamycin exposures w 0d prior obsv, 30d gap"
7302,"ketamine exposures w 0d prior obsv, 30d gap"
7303,"ketanserin exposures w 0d prior obsv, 30d gap"
7304,"ketoconazole exposures w 0d prior obsv, 30d gap"
7305,"ketoprofen exposures w 0d prior obsv, 30d gap"
7306,"ketorolac exposures w 0d prior obsv, 30d gap"
7307,"ketotifen exposures w 0d prior obsv, 30d gap"
7308,"lactulose exposures w 0d prior obsv, 30d gap"
7309,"lamivudine exposures w 0d prior obsv, 30d gap"
7310,"lamotrigine exposures w 0d prior obsv, 30d gap"
7311,"lansoprazole exposures w 0d prior obsv, 30d gap"
7312,"larotrectinib exposures w 0d prior obsv, 30d gap"
7313,"leflunomide exposures w 0d prior obsv, 30d gap"
7314,"lenalidomide exposures w 0d prior obsv, 30d gap"
7315,"lente insulin, beef-pork exposures w 0d prior obsv, 30d gap"
7316,"lente insulin, beef exposures w 0d prior obsv, 30d gap"
7317,"lente insulin, human exposures w 0d prior obsv, 30d gap"
7318,"lente insulin, pork exposures w 0d prior obsv, 30d gap"
7319,"lenvatinib exposures w 0d prior obsv, 30d gap"
7320,"leucine exposures w 0d prior obsv, 30d gap"
7321,"leuprolide exposures w 0d prior obsv, 30d gap"
7322,"levamisole exposures w 0d prior obsv, 30d gap"
7323,"levetiracetam exposures w 0d prior obsv, 30d gap"
7324,"levocabastine exposures w 0d prior obsv, 30d gap"
7325,"levofloxacin exposures w 0d prior obsv, 30d gap"
7326,"levomilnacipran exposures w 0d prior obsv, 30d gap"
7327,"levonorgestrel exposures w 0d prior obsv, 30d gap"
7328,"levorphanol exposures w 0d prior obsv, 30d gap"
7329,"linaclotide exposures w 0d prior obsv, 30d gap"
7330,"linagliptin exposures w 0d prior obsv, 30d gap"
7331,"lincomycin exposures w 0d prior obsv, 30d gap"
7332,"linezolid exposures w 0d prior obsv, 30d gap"
7333,"liraglutide exposures w 0d prior obsv, 30d gap"
7334,"lisdexamfetamine exposures w 0d prior obsv, 30d gap"
7335,"lithium carbonate exposures w 0d prior obsv, 30d gap"
7336,"lithium citrate exposures w 0d prior obsv, 30d gap"
7337,"lomefloxacin exposures w 0d prior obsv, 30d gap"
7338,"lomustine exposures w 0d prior obsv, 30d gap"
7339,"loperamide exposures w 0d prior obsv, 30d gap"
7340,"loracarbef exposures w 0d prior obsv, 30d gap"
7341,"loratadine exposures w 0d prior obsv, 30d gap"
7342,"loteprednol etabonate exposures w 0d prior obsv, 30d gap"
