concept_code_1	concept_name_1	concept_class_id_1	concept_id_2	concept_name_2	precedence
DPD117023	Viburnum Lantana	Ingredient	42900008	Viburnum prunifolium bark extract	1
DPD116978	Veronica Beccabunga	Ingredient	40220741	Veronica officinalis leaf extract	1
DPD116860	Vanadium Sulfate	Ingredient	19043266	vanadyl sulfate	1
DPD116755	Vaccinium Macrocarpon	Ingredient	36249484	Vaccinium macrocarpon whole extract	1
DPD116556	Typhoid Vaccine (Salmonella Typhi Ty21a)	Ingredient	523202	Typhoid Vaccine Live Ty21a	1
DPD116395	Trifolium	Ingredient	43013016	Trifolium pratense leaf extract	1
DPD116396	Trifolium Pratense	Ingredient	42900047	Trifolium pratense flower extract	1
DPD116390	Triethanolamine Polypeptide Cocoate Condensate	Ingredient	942765	TRIETHANOLAMINE POLYPEPTIDE OLEATE CONDENSATE	1
DPD101043	Chinese Tinospora Stem	Ingredient	40221258	Tinospora cordifolia stem extract	1
DPD116011	Tilia Tomentosa	Ingredient	19056118	Tilia extract	1
DPD114185	Semen Biotae Orientalis	Ingredient	42904249	Thuja occidentalis whole extract	1
DPD115945	Thuja Lobbi	Ingredient	42904249	Thuja occidentalis whole extract	1
DPD115563	Teucrium Scorodonia	Ingredient	45776474	Teucrium scorodonia whole extract	1
DPD114521	Sodium Auro-Chloride	Ingredient	43014194	tetrachloroaurate	1
DPD114580	Sodium Tetrachloroaurate(Iii)	Ingredient	43014194	tetrachloroaurate	1
DPD105519	Human Immunoglobulins (Tetanus Immune Globulin (Human))	Ingredient	35604680	Tetanus immune globulin	1
DPD103826	Eugenia Jambosa	Ingredient	42900201	Syzygium jambos leaf extract	1
DPD103825	Eugenia Jambolana	Ingredient	1718916	Syzygium cumini fruit extract	1
DPD114465	Skunk Cabbage	Ingredient	42900197	Symplocarpus foetidus root extract	1
DPD115244	Symphoricarpus Racemosus	Ingredient	42900195	Symphoricarpos albus fruit extract	1
DPD107549	Mamma	Ingredient	42900158	Sus scrofa mammary gland preparation	1
DPD105407	Hoang Nan	Ingredient	42900209	Strychnos wallichiana bark extract	1
DPD114975	Strophanthus Sarmentosus	Ingredient	44814447	Strophanthus kombe whole extract	1
DPD114951	Streptococcus Non-Hemolytic	Ingredient	43563438	streptococcus faecalis	1
DPD114909	Stillingia	Ingredient	42900118	Stillingia sylvatica root extract	1
DPD114891	Sticta Pulmonaria	Ingredient	43125871	Sticta Pulmonaria for homeopathic preparations	1
DPD114751	Spinach	Ingredient	45775818	Spinacia oleracea root extract	1
DPD114748	Spigelia Marylandica	Ingredient	19071807	Spigelia marilandica preparation	1
DPD114609	Solaninum	Ingredient	42900074	Solanum dulcamara stem extract	1
DPD114610	Solanum	Ingredient	42900074	Solanum dulcamara stem extract	1
DPD114445	Sitaxsentan Sodium	Ingredient	21014051	Sitaxentan	1
DPD114383	"Sinapis Arvensis, Flos"	Ingredient	42899807	Sinapsis arvensis flowering-fruiting top extract	1
DPD114337	Silica Marina	Ingredient	19066865	Silicon Dioxide	1
DPD114290	Sheep Sorrel	Ingredient	40162235	sheep sorrel pollen extract	1
DPD100464	Calcium Sennosides A & B	Ingredient	938268	"sennosides, USP"	1
DPD100706	Cassia Alata	Ingredient	43526359	Senna alata whole extract	1
