CONCEPT_NAME	CONCEPT_ID_2
INSULIN PORCINE ZINC SUSPENSION (AMORPHO	1562586
INSULIN PORCINE ZINC SUSPENSION (COMPOUN	1562586
INSULIN PORCINE ZINC SUSPENSION (UNSPECI	1562586
INSULIN UNSPECIFIED PROTAMINE ZINC	19013926
INSULIN UNSPECIFIED PROTAMINE ZINC	19091621
INSULIN UNSPECIFIED PROTAMINE ZINC	19090180
INSULIN UNSPECIFIED PROTAMINE ZINC	19090187
PROPACETAMOL	1125315
N,N-DIETHYLSALICYLAMIDE	1164108
CONVOLVULUS PLURICAULIS	1593615
FOSFOCREATININE	19071967
METHYLFOLATE	19112915
LAURYL-OXYPROPYL-BETA-AMINOBUTYRIC ACID	19123696
MERCUROBUTOL	19125390
ANAS BARBARIAE	35406447
IMMUNOGLOBULIN ANTI-CLOSTRIDIUM TETANI T	35604680
VACCINE, LEPTOSPIRAE	36878622
DESMODIUM ASCENDENS	40798784
PHOSPHORYLCHOLINE	40799020
BARYTA	42898624
JACARANDA PROCERA	42899467
GUETHOL	42900263
BENZODODECINIUM	42900317
AMBROSIA MARITIMA	42904083
POLYPHLORETIN	43013779
CICHORIUM ENDIVIA	43525791
ECHINODORUS MACROPHYLLUS	43525880
ECHINODORUS MACROPHYLLUS	43532995
CEREUS BRASILIENSIS	43533113
BIGNONIA QUINQUIFOLIA	44012572
ERICA ARBOREA	44784819
ECHINODORUS MACROPHYLLUS	45776741
